P/GPa anatase baddeleyite brookite columbite cotunnite C2c fluorite hollandite 0-a-P21c 0-b-P21c 0-c-I41a 0-d-P31m 0-e-C2c 0-f-C2m 0-g-Im2m 40-a-Pnnm 60-a-R3 60-b-P21c 60-c-Pc 60-d-P62m 60-e-P21m 60-f-Pmn21 60-g-Pminus1 OIanalogue pyrite ramsdelliteAnalogue rutile TiO2B
7.09275 -853.7124558736806 NaN -858.4216847581405 -863.2079958120568 NaN -856.8422235115477 NaN NaN -863.2291357113353 -860.9359455877558 -858.3404408690866 -857.3538549007664 -857.8734485033353 -853.7261621334919 -855.4676912155116 NaN -851.7510721887386 -859.3776154141115 NaN NaN NaN NaN NaN -859.2775386663433 -861.4887488702608 -856.8513430863611 -863.6579683747088 -848.3381636598546
7.3460624999999995 -852.504884027475 NaN -857.2885365916584 -862.1301650526149 NaN -855.8249141052141 NaN NaN -862.1476241730923 -859.9022015266429 -857.2840209853583 -856.2788315620263 -856.8216072090472 -852.5868662161538 -854.3820586024286 NaN -850.7908669432213 -858.3545182121185 NaN NaN NaN NaN NaN -858.2681915350954 -860.475622599962 -855.8301756284694 -862.5671204289787 -847.0656739690899
7.599374999999999 -851.2990575877184 NaN -856.1567352653196 -861.0534468604088 NaN -854.808546227102 NaN NaN -861.0672416195833 -858.8694667245235 -856.2287710766906 -855.2049576747476 -855.7709446579762 -851.4494479888608 -853.2977024758458 NaN -849.8315420942399 -857.3325111588592 NaN NaN NaN NaN NaN -857.2598860106311 -859.4634279994375 -854.8100269364214 -861.4773778029233 -845.7948625239279
7.8526875 -850.0950060918794 NaN -855.0262927485408 -859.9778372656278 NaN -853.7931305684456 NaN NaN -859.9879801849975 -857.837742907046 -855.1746930713161 -854.1322208239811 -854.7214496263261 -850.3139009478854 -852.2146051449943 NaN -848.8730880430724 -856.3115846124866 NaN NaN NaN NaN NaN -856.2526148279966 -858.4521690376132 -853.7908886799308 -860.3887255337563 -844.5257094266137
8.106 -848.8927073459388 NaN -853.8971918948445 -858.9033275948019 NaN -852.7786778202492 NaN NaN -858.909843121213 -856.8070317977761 -854.1217776457132 -853.0606121581375 -853.6731128886628 -849.1802060275168 -851.1327301362443 NaN -847.9154941845924 -855.2917554804209 NaN NaN NaN NaN NaN -855.2463706611059 -857.441850473507 -852.7727758881017 -859.3011292024764 -843.2582055042847
8.3593125 -847.6921178153852 NaN -852.7694162486642 -857.8298894123614 NaN -851.7651935152336 NaN NaN -857.832824110319 -855.7773278631397 -853.0699922556992 -851.9901369745119 -852.6259279525214 -848.0483310613192 -850.0520774320613 NaN -846.9587623700156 -854.273008935 NaN NaN NaN NaN NaN -854.2411390499095 -856.4324727264504 -851.7556749814158 -858.214580365698 -841.9923439159824
8.612625 -846.4932288622832 NaN -851.6429598280556 -856.7575440179301 NaN -850.7526782566574 NaN NaN -856.7569188066594 -854.7486190320006 -852.0193257562579 -850.9207988949031 -851.5798883309023 -846.9182438837016 NaN NaN -846.0028915177767 -853.2553297430322 NaN NaN NaN NaN NaN -853.2368962143548 -855.4240251861681 -850.7395737631292 -857.1290890603169 -840.7280707194572
8.8659375 -845.2960259170442 NaN -850.51781955839 -855.6863361036964 NaN -849.7410859560889 NaN NaN -855.6821253118638 -853.7209010975355 -850.9698044857497 -849.852585262346 -850.5349640280747 -845.7899518406318 NaN NaN -845.047873484321 -852.2387082437365 NaN NaN NaN NaN NaN -852.2336386187611 -854.4165022326157 -849.7244635733085 -856.0446647879864 -839.4653795738659
9.11925 -844.1004816475681 NaN -849.3939988449058 -854.6162404003351 NaN -848.7304038805074 NaN NaN -854.6084416862843 -852.6941744349849 -849.9214348185317 -848.7854834185838 -849.4911369859076 -844.6634708185505 NaN NaN -844.0937000281317 -851.2231435138502 NaN NaN NaN NaN NaN -851.231377821773 -853.4099014294902 -848.710335779635 -854.961297361816 -838.2043048913916
9.372562499999999 -842.9065691255312 NaN -848.2714897416663 -853.5472163980876 NaN -847.7207089685014 NaN NaN -853.5358519072039 -851.668417948208 -848.8741944867933 -847.719479544894 -848.4484337058047 -843.5387839004549 NaN NaN -843.1403630017506 -850.2086294266215 NaN NaN NaN NaN NaN -850.2301015919569 -852.404206195059 -847.6971800347698 -853.8789712256113 -836.9448585826044
9.625874999999999 -841.7142909992872 NaN -847.1502769488952 -852.4791964931181 NaN -846.7120239273561 NaN NaN -852.4643301082274 -850.6436191906834 -847.8280611286123 -846.6545588748868 -847.4068597552339 -842.4158723719682 NaN NaN -842.1878543961748 -849.1951600380411 NaN NaN NaN NaN NaN -849.2297972802967 -851.3993852816454 -846.6849835189712 -852.7976889487074 -835.6870407353563
9.8791875 -840.5236543257535 NaN -846.0303453074006 -851.4121291783508 NaN -845.7043039209872 NaN NaN -851.3938646146165 -849.6198038930796 -846.7830318507969 -845.5907160143503 -846.3663956086313 -841.2947154910431 NaN NaN -841.2361632202721 -848.1827300873252 NaN NaN NaN NaN NaN -848.2304554328485 -850.3954471788246 -845.673739134724 -851.7174434894418 -834.4308527477184
