P/GPa anatase baddeleyite brookite columbite cotunnite C2c fluorite hollandite 0-a-P21c 0-b-P21c 0-c-I41a 0-d-P31m 0-e-C2c 0-f-C2m 0-g-Im2m 40-a-Pnnm 60-a-R3 60-b-P21c 60-c-Pc 60-d-P62m 60-e-P21m 60-f-Pmn21 60-g-Pminus1 OIanalogue pyrite ramsdelliteAnalogue rutile TiO2B
13.678875 -845.5615824685735 NaN -852.4792084182345 -858.7796953651521 -845.152495233318 -853.6600076870698 NaN NaN -858.5753296040218 -857.3535589542778 NaN -853.0028432569648 NaN NaN NaN NaN -849.3553646736199 -855.7430489280034 NaN NaN NaN NaN NaN -856.3113258565157 -858.4273164626361 NaN -858.9256220312932 NaN
13.9321875 -844.4167162879965 NaN -851.3968472232239 -857.7449298526568 -844.2533160675869 -852.6888657072382 NaN NaN -857.5472277770306 -856.3538347595367 NaN -851.9685567202201 NaN NaN NaN NaN -848.4363925291614 -854.765700301605 NaN NaN NaN NaN NaN -855.3495894409585 -857.4517733808896 NaN -857.8854220920329 NaN
14.1855 -843.2789316259119 NaN -850.3227164191529 -856.7110934356779 -843.3566083544104 -851.7196613850952 NaN NaN -856.5213326050847 -855.3559318382862 NaN -850.9363199131329 NaN NaN NaN NaN -847.517722127679 -853.7910192812022 NaN NaN NaN NaN NaN -854.3900351101604 -856.4727237159904 NaN -856.8462865553815 NaN
14.4388125 -842.1410491200405 NaN -849.2474075276116 -855.678163307841 -842.4619584957021 -850.7601486128472 NaN NaN -855.4844701053341 -854.3669307009752 NaN -849.9106820557129 NaN NaN NaN NaN -846.6050586717425 -852.8138573562385 NaN NaN NaN NaN NaN -853.4296764666697 -855.5061527988007 NaN -855.8008860402674 NaN
14.692124999999999 -840.9953008706399 NaN -848.1620542104072 -854.6476124777034 -841.5715919999716 -849.801671238866 NaN NaN -854.4491572856108 -853.3800096169267 NaN -848.8871040983977 NaN NaN NaN NaN -845.6952201421361 -851.8366177707364 NaN NaN NaN NaN NaN -852.4704509111795 -854.5480691044652 NaN -854.7446321326062 NaN
14.945437499999999 -839.8536376605052 NaN -847.0789881728657 -853.6194035634117 -840.6915454354719 -848.8264124944545 NaN NaN -853.4089723323875 -852.3881470204287 NaN -847.8555498027206 NaN NaN NaN NaN -844.7846988683181 -850.8670142576443 NaN NaN NaN NaN NaN -851.5086028870116 -853.5764969791767 NaN -853.691955527124 NaN
15.198749999999999 -838.7177225147461 NaN -845.9980274109903 -852.5893358565331 -839.8068400003458 -847.8532791222091 NaN NaN -852.3707847681767 -851.398105346291 NaN -846.8259755953043 NaN NaN NaN NaN -843.8752518159514 -849.9010622318899 NaN NaN NaN NaN NaN -850.5473160809613 -852.5969286486072 NaN -852.6437146738504 NaN
15.4520625 -837.5828573183021 NaN -844.919475328219 -851.5568286418464 -838.9041018025804 -846.8855320407961 NaN NaN -851.3429717284465 -850.419912965264 NaN -845.8037122028343 NaN NaN NaN NaN -842.9640123691765 -848.9266121710057 NaN NaN NaN NaN NaN -849.5929060651495 -851.6288081776416 NaN -851.5960021725779 NaN
15.705375 -836.4441998937479 NaN -843.8430592517965 -850.5250340676714 -838.004878725367 -845.9198135096387 NaN NaN -850.3173156550341 -849.4438165389358 NaN -844.7836299580124 NaN NaN NaN NaN -842.0534849880767 -847.9511121760484 NaN NaN NaN NaN NaN -848.6419223524306 -850.6722790940828 NaN -850.5471195366256 NaN
15.9586875 -835.3089069216328 NaN -842.7680706841319 -849.4938879678411 -837.1108488382437 -844.9630061202015 NaN NaN -849.2905180070047 -848.4611605435282 NaN -843.7576480426335 NaN NaN NaN NaN -841.1352857163938 -846.9877965509479 NaN NaN NaN NaN NaN -847.6894902695328 -849.7106856157743 NaN -849.5039220203946 NaN
